,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
253,Marsá Maţrūḩ,64,EG,1673850263,80,31.3525,27.2453,54.73,15.17
254,Amoy,75,CN,1673850264,67,24.4798,118.0819,55.45,8.95
255,Port Lincoln,25,AU,1673850264,50,-34.7333,135.8667,76.41,13.58
256,Şebinkarahisar,98,TR,1673850265,76,40.2883,38.4236,30.16,3.65
257,Huarmey,100,PE,1673850265,81,-10.0681,-78.1522,68.94,2.24
258,Sørland,100,NO,1673850266,64,67.667,12.6934,35.46,9.31
259,Plettenberg Bay,51,ZA,1673850245,71,-34.0527,23.3716,72.82,5.41
260,Yakeshi,99,CN,1673850268,92,49.2833,120.7333,-4.32,9.51
261,Galveston,100,US,1673850268,79,29.3669,-94.9669,70.0,11.5
262,Srednekolymsk,77,RU,1673850269,99,67.45,153.6833,-44.54,6.71
263,Skibbereen,43,IE,1673850269,81,51.55,-9.2667,40.1,14.47
264,Sola,92,VU,1673850270,70,-13.8833,167.55,86.67,0.0
265,Maku,83,IR,1673850270,67,39.2911,44.4521,31.46,0.72
266,Alice Springs,40,AU,1673850223,31,-23.7,133.8833,92.75,11.5
267,Touros,100,BR,1673850272,75,-5.1989,-35.4608,78.04,9.86
268,Golden,40,US,1673850272,85,39.7555,-105.2211,34.88,3.44
269,Yola,20,NG,1673850273,33,9.2,12.4833,66.65,1.7
270,Les Cayes,0,HT,1673850273,74,18.2,-73.75,67.19,10.89
271,Ozerne,100,UA,1673850273,94,50.1782,28.7338,33.55,7.52
272,Smithers,100,CA,1673850160,93,54.7804,-127.1743,34.12,4.61
273,Ponta do Sol,58,PT,1673850274,81,32.6667,-17.1,64.0,7.43
274,Ribeira Grande,50,PT,1673850274,80,38.5167,-28.7,49.77,7.0
275,Porto Belo,100,BR,1673850275,97,-27.1578,-48.5531,73.17,7.09
276,Barentu,15,ER,1673850275,69,15.1139,37.5928,69.84,4.43
277,Prado,97,BR,1673850276,89,-17.3411,-39.2208,73.6,1.48
278,Arraial do Cabo,61,BR,1673850276,91,-22.9661,-42.0278,73.74,23.26
279,Kosh-Agach,99,RU,1673850277,91,50.0,88.6667,-5.98,1.63
280,Tortolì,40,IT,1673850277,54,39.9256,9.6572,55.22,5.75
281,Kungurtug,100,RU,1673850127,86,50.5994,97.5228,2.95,3.13
282,Lakatoro,68,VU,1673850278,76,-16.0999,167.4164,82.22,4.21
283,Gillette,100,US,1673849990,92,44.2911,-105.5022,34.72,3.44
284,Benguela,100,AO,1673850278,79,-12.5763,13.4055,76.3,1.36
285,Sobolevo,100,RU,1673850279,95,54.4299,31.8996,28.0,16.28
286,Klyuchi,97,RU,1673850279,89,52.2667,79.1667,14.76,14.88
287,Fortuna,100,US,1673850280,96,40.5982,-124.1573,43.36,8.05
288,Margate,100,GB,1673850280,91,51.3813,1.3862,40.89,1.01
289,Kozármisleny,100,HU,1673850281,93,46.0297,18.2921,41.32,6.91
290,Letterkenny,91,IE,1673850281,76,54.95,-7.7333,35.49,3.18
291,San Cristobal,49,VE,1673850282,95,7.7669,-72.225,64.45,2.24
292,Mubi,16,NG,1673850282,33,10.2676,13.2644,62.31,2.91
293,Quatre Cocos,35,MU,1673850283,68,-20.2078,57.7625,83.08,15.82
294,San Vicente,68,AR,1673850104,94,-26.6167,-54.1333,64.15,0.76
295,Pangnirtung,77,CA,1673850283,88,66.1451,-65.7125,-41.87,5.12
296,Wilmington,0,US,1673850146,84,34.2257,-77.9447,36.86,0.0
297,Batemans Bay,81,AU,1673850284,68,-35.7167,150.1833,74.1,5.95
298,Redmond,100,US,1673850002,91,47.674,-122.1215,46.87,8.01
299,Drayton Valley,100,CA,1673850000,97,53.2168,-114.9854,26.35,4.29
300,Phang Nga,66,TH,1673850284,42,8.4509,98.5298,86.04,2.37
301,College,40,US,1673850285,81,64.8569,-147.8028,-0.45,4.61
302,Pervomays'k,100,UA,1673850285,98,48.0443,30.8507,35.94,13.96
303,Bonthe,69,SL,1673850286,92,7.5264,-12.505,74.28,2.82
304,Baruun-Urt,45,MN,1673850286,67,46.6806,113.2792,2.5,7.09
305,Mattawa,100,US,1673850286,82,46.7379,-119.9028,44.6,2.3
306,Turukhansk,100,RU,1673850080,96,65.8167,87.9833,-16.74,14.05
307,Bellavista,100,PE,1673850287,99,-7.0561,-76.5911,70.29,1.21
308,Madanapalle,8,IN,1673850288,28,13.55,78.5,77.49,4.85
309,Kumano,77,JP,1673850288,74,34.3442,132.5894,50.92,9.37
310,Van,40,TR,1673850288,74,38.4924,43.3831,25.95,3.44
311,Roblin,99,CA,1673850289,98,51.23,-101.3565,10.98,1.23
312,Clyde River,100,CA,1673850270,84,70.4692,-68.5914,-5.57,32.21
313,Naze,98,JP,1673850290,73,28.3667,129.4833,56.32,20.6
314,Igarka,100,RU,1673850290,97,67.4667,86.5833,-20.22,8.88
315,Vuktyl,100,RU,1673850290,93,63.8567,57.3094,20.91,12.06
316,Cabo San Lucas,40,MX,1673850291,69,22.8909,-109.9124,69.51,5.01
317,Tuatapere,34,NZ,1673850291,51,-46.1333,167.6833,72.45,9.22
318,Puerto Ayora,19,EC,1673850292,97,-0.7393,-90.3518,75.54,1.99
319,Ballarat,67,AU,1673850292,11,-37.5662,143.8496,90.57,2.39
320,Dingle,55,PH,1673850292,81,10.9995,122.6711,82.51,7.47
321,Tigre,0,AR,1673850293,52,-34.426,-58.5796,80.6,10.36
322,Payakumbuh,86,ID,1673850293,70,-0.2202,100.6308,81.68,1.63
323,Alta,75,NO,1673850294,100,69.9689,23.2717,15.06,3.44
324,Buala,82,SB,1673850294,74,-8.145,159.5921,83.19,3.13
325,Kaeo,34,NZ,1673850295,83,-35.1,173.7833,65.32,11.54
326,Guadalupe y Calvo,16,MX,1673850295,87,26.1,-106.9667,32.25,4.29
327,Katsuura,100,JP,1673850295,90,35.1333,140.3,51.03,16.64
328,Cayenne,100,GF,1673850149,100,4.9333,-52.3333,69.84,0.0
329,Chokurdakh,6,RU,1673850296,90,70.6333,147.9167,-21.01,11.86
330,Kahului,40,US,1673850296,69,20.8947,-156.47,75.22,5.75
331,Batagay-Alyta,99,RU,1673850297,98,67.8006,130.4114,-34.69,3.98
332,Show Low,100,US,1673850297,88,34.2542,-110.0298,34.09,14.97
333,Balikpapan,40,ID,1673850298,74,-1.2675,116.8289,86.99,2.3
334,San Jerónimo,100,PE,1673850298,82,-11.9472,-75.2829,50.02,0.72
335,Sibolga,89,ID,1673850298,73,1.7427,98.7792,82.94,4.92
336,Narsaq,16,GL,1673850299,54,60.9167,-46.05,7.02,19.6
337,Roald,75,NO,1673850299,75,62.5833,6.1333,39.76,16.11
338,Norman Wells,100,CA,1673850300,77,65.282,-126.8329,-3.96,4.61
339,Berthierville,18,CA,1673850300,95,46.0834,-73.1824,19.35,7.05
340,Ṭikāpur,82,NP,1673850301,51,28.5,81.1333,62.46,4.74
341,Basco,100,PH,1673850301,76,20.4487,121.9702,71.87,34.25
342,Hofn,100,IS,1673850302,59,64.2539,-15.2082,24.69,20.8
343,Oussouye,57,SN,1673850302,68,12.485,-16.5469,62.69,1.25
344,Hualmay,100,PE,1673850303,80,-11.0964,-77.6139,69.37,4.83
345,Port Blair,40,IN,1673850304,61,11.6667,92.75,82.44,10.36
346,Poltavka,70,RU,1673850304,74,54.3663,71.7632,16.83,18.14
347,Mahibadhoo,96,MV,1673850305,69,3.7833,72.9667,79.75,5.5
348,Shubarkuduk,0,KZ,1673850306,73,49.1447,56.4872,6.98,6.78
349,Adana Province,75,TR,1673850306,82,36.985,35.2881,51.82,11.5
350,Oriximiná,100,BR,1673850307,93,-1.7656,-55.8661,72.46,1.99
351,Kudahuvadhoo,89,MV,1673850307,70,2.6708,72.8944,79.43,3.94
352,Ruteng,98,ID,1673850308,71,-8.6136,120.4721,72.54,4.68
353,Qinhuangdao,0,CN,1673850309,23,39.9317,119.5883,29.14,15.79
